date,count,directions,directions_lag1,directions_lag2,directions_lag3,directions_roll7,precip,temp,sun,wind,precip_lag1,is_weekend_or_holiday,weather_severity,dow_mean_count,weekend_x_severity,weekend_x_intent,month
2025-07-29,8817,6637.0,6607.0,8843.0,7757.0,6746.285714285715,0.0,29.141666666666666,0.80625,2.466666666666667,0.0,0,0,6847.360655737705,0,0.0,7
2025-07-30,8818,6154.0,6637.0,6607.0,8843.0,6860.571428571428,0.0,29.333333333333332,0.8666666666666667,2.129166666666667,0.0,0,0,6192.406779661017,0,0.0,7
2025-07-31,8820,6152.0,6154.0,6637.0,6607.0,6915.714285714285,0.0,29.34166666666667,0.7733333333333333,1.8083333333333333,0.0,0,0,6770.714285714285,0,0.0,7
2025-08-01,9934,6468.0,6152.0,6154.0,6637.0,6945.428571428572,0.0,28.954166666666666,0.6142857142857142,2.3249999999999997,0.0,0,0,7220.118644067797,0,0.0,8
2025-08-02,16159,8538.0,6468.0,6152.0,6154.0,7057.0,0.0,28.925,0.6785714285714286,2.654166666666667,0.0,1,0,11853.169491525423,0,8538.0,8
2025-08-03,17370,9663.0,8538.0,6468.0,6152.0,7174.142857142857,0.0,29.083333333333332,0.7857142857142857,2.308333333333333,0.0,1,0,12127.36507936508,0,9663.0,8
2025-08-04,12557,7210.0,9663.0,8538.0,6468.0,7260.285714285715,0.0,31.766666666666666,0.7285714285714285,3.275,0.0,0,0,8486.285714285714,0,0.0,8
2025-08-05,11955,6833.0,7210.0,9663.0,8538.0,7288.285714285715,3.5,30.083333333333332,0.37857142857142856,4.195833333333334,0.0,0,1,6847.360655737705,0,0.0,8
2025-08-07,9324,8128.0,6833.0,7210.0,9663.0,7570.285714285715,26.0,27.25,0.37857142857142856,3.5500000000000003,3.5,0,2,6770.714285714285,0,0.0,8
2025-08-08,14193,9320.0,8128.0,6833.0,7210.0,8022.857142857143,1.0,26.183333333333334,0.8571428571428571,2.2375000000000003,26.0,0,1,7220.118644067797,0,0.0,8
2025-08-09,22410,13379.0,9320.0,8128.0,6833.0,9010.142857142857,0.5,25.8625,0.4642857142857143,2.2916666666666665,1.0,1,1,11853.169491525423,1,13379.0,8
2025-08-10,18250,16999.0,13379.0,9320.0,8128.0,10218.857142857143,47.5,24.925,0.0,4.733333333333333,0.5,1,2,12127.36507936508,2,16999.0,8
2025-08-11,22988,16414.0,16999.0,13379.0,9320.0,11183.285714285714,21.0,25.883333333333336,0.014285714285714287,3.408333333333333,47.5,1,2,8486.285714285714,2,16414.0,8
2025-08-12,20152,15558.0,16414.0,16999.0,13379.0,12375.857142857143,29.5,25.391666666666666,0.02142857142857143,3.5,21.0,0,2,6847.360655737705,0,0.0,8
2025-08-13,15863,15239.0,15558.0,16414.0,16999.0,13576.714285714286,0.0,26.570833333333336,0.2642857142857143,1.5833333333333333,29.5,0,0,6192.406779661017,0,0.0,8
2025-08-14,24253,15970.0,15239.0,15558.0,16414.0,14697.0,0.0,28.275000000000002,0.8857142857142858,1.9875,0.0,0,0,6770.714285714285,0,0.0,8
2025-08-15,21037,14584.0,15970.0,15239.0,15558.0,15449.0,0.0,27.483333333333334,0.7428571428571429,2.4250000000000003,0.0,0,0,7220.118644067797,0,0.0,8
2025-08-17,19193,10743.0,14584.0,15970.0,15239.0,15072.42857142857,0.0,28.34166666666667,0.8571428571428571,2.3583333333333334,0.0,1,0,12127.36507936508,0,10743.0,8
2025-08-18,16136,8417.0,10743.0,14584.0,15970.0,13846.42857142857,0.0,27.541666666666668,0.7285714285714285,2.466666666666667,0.0,0,0,8486.285714285714,0,0.0,8
2025-08-19,13763,7530.0,8417.0,10743.0,14584.0,12577.285714285714,0.0,28.483333333333334,0.6785714285714286,3.079166666666667,0.0,0,0,6847.360655737705,0,0.0,8
2025-08-20,13748,7341.0,7530.0,8417.0,10743.0,11403.42857142857,0.0,28.808333333333334,0.7714285714285715,2.4541666666666666,0.0,0,0,6192.406779661017,0,0.0,8
2025-08-21,12539,6906.0,7341.0,7530.0,8417.0,10213.0,0.0,28.599999999999998,0.7857142857142857,2.470833333333333,0.0,0,0,6770.714285714285,0,0.0,8
2025-08-22,11854,7322.0,6906.0,7341.0,7530.0,8977.57142857143,0.0,28.7375,0.7857142857142857,2.3916666666666666,0.0,0,0,7220.118644067797,0,0.0,8
2025-08-23,15762,8991.0,7322.0,6906.0,7341.0,8178.571428571428,0.0,29.266666666666666,0.7857142857142857,2.5749999999999997,0.0,1,0,11853.169491525423,0,8991.0,8
2025-08-24,18192,10593.0,8991.0,7322.0,6906.0,8157.142857142857,0.0,28.891666666666666,0.7999999999999999,2.0,0.0,1,0,12127.36507936508,0,10593.0,8
2025-08-25,13836,7163.0,10593.0,8991.0,7322.0,7978.0,0.0,28.770833333333332,0.8642857142857142,2.2666666666666666,0.0,0,0,8486.285714285714,0,0.0,8
2025-08-27,8296,6209.0,7163.0,10593.0,8991.0,7789.285714285715,19.5,27.420833333333334,0.16428571428571428,3.5,0.0,0,2,6192.406779661017,0,0.0,8
2025-08-28,9586,5948.0,6209.0,7163.0,10593.0,7590.285714285715,0.0,26.566666666666666,0.7857142857142857,1.8791666666666667,19.5,0,0,6770.714285714285,0,0.0,8
2025-08-29,9707,6221.0,5948.0,6209.0,7163.0,7492.428571428572,0.0,28.108333333333334,0.7571428571428571,2.6,0.0,0,0,7220.118644067797,0,0.0,8
2025-08-31,15328,8127.0,6221.0,5948.0,6209.0,7607.428571428572,0.0,28.349999999999998,0.8428571428571429,2.3958333333333335,0.0,1,0,12127.36507936508,0,8127.0,8
2025-09-01,6793,5657.0,8127.0,6221.0,5948.0,7131.142857142857,0.0,29.90833333333333,0.85,3.3791666666666664,0.0,0,0,8486.285714285714,0,0.0,9
2025-09-02,7047,5186.0,5657.0,8127.0,6221.0,6358.714285714285,2.5,29.633333333333336,0.7357142857142858,3.9458333333333333,0.0,0,1,6847.360655737705,0,0.0,9
2025-09-03,6450,5123.0,5186.0,5657.0,8127.0,6067.285714285715,0.0,26.875,0.40714285714285714,2.558333333333333,2.5,0,0,6192.406779661017,0,0.0,9
